config,task,metric,mean,std,n_seeds
full_model,lemma,accuracy,0.6779,0.0032,5
full_model,lemma,precision,0.4635,0.0236,5
full_model,lemma,recall,0.4708,0.0102,5
full_model,lemma,f1,0.4495,0.0171,5
full_model,upos,accuracy,0.8325,0.0078,5
full_model,upos,precision,0.7225,0.0109,5
full_model,upos,recall,0.6993,0.0241,5
full_model,upos,f1,0.6964,0.0185,5
full_model,grammeme,accuracy,0.594,0.0107,5
full_model,grammeme,precision,0.6121,0.0156,5
full_model,grammeme,recall,0.4039,0.0141,5
full_model,grammeme,f1,0.4536,0.0126,5
wo_character_encoder,lemma,accuracy,0.6148,0.012,5
wo_character_encoder,lemma,precision,0.4495,0.025,5
wo_character_encoder,lemma,recall,0.426,0.019,5
wo_character_encoder,lemma,f1,0.4221,0.0227,5
wo_character_encoder,upos,accuracy,0.7382,0.0336,5
wo_character_encoder,upos,precision,0.7064,0.0497,5
wo_character_encoder,upos,recall,0.6118,0.0264,5
wo_character_encoder,upos,f1,0.637,0.0342,5
wo_character_encoder,grammeme,accuracy,0.4718,0.0203,5
wo_character_encoder,grammeme,precision,0.4598,0.0688,5
wo_character_encoder,grammeme,recall,0.2239,0.0292,5
wo_character_encoder,grammeme,f1,0.2664,0.0408,5
wo_gated_fusion,lemma,accuracy,0.6793,0.0054,5
wo_gated_fusion,lemma,precision,0.4474,0.0193,5
wo_gated_fusion,lemma,recall,0.4597,0.0156,5
wo_gated_fusion,lemma,f1,0.4365,0.0176,5
wo_gated_fusion,upos,accuracy,0.8194,0.0208,5
wo_gated_fusion,upos,precision,0.7326,0.024,5
wo_gated_fusion,upos,recall,0.7139,0.0055,5
wo_gated_fusion,upos,f1,0.7056,0.0136,5
wo_gated_fusion,grammeme,accuracy,0.598,0.0101,5
wo_gated_fusion,grammeme,precision,0.608,0.0225,5
wo_gated_fusion,grammeme,recall,0.4277,0.0181,5
wo_gated_fusion,grammeme,f1,0.4721,0.0199,5
wo_crf,lemma,accuracy,0.6916,0.0042,5
wo_crf,lemma,precision,0.4566,0.02,5
wo_crf,lemma,recall,0.4672,0.0163,5
wo_crf,lemma,f1,0.4431,0.0191,5
wo_crf,upos,accuracy,0.828,0.0133,5
wo_crf,upos,precision,0.7252,0.0125,5
wo_crf,upos,recall,0.711,0.0119,5
wo_crf,upos,f1,0.7038,0.003,5
wo_crf,grammeme,accuracy,0.6197,0.0296,5
wo_crf,grammeme,precision,0.5775,0.0499,5
wo_crf,grammeme,recall,0.385,0.0496,5
wo_crf,grammeme,f1,0.4292,0.0501,5
transformer_only,lemma,accuracy,0.6126,0.021,5
transformer_only,lemma,precision,0.4581,0.0332,5
transformer_only,lemma,recall,0.4299,0.0372,5
transformer_only,lemma,f1,0.4293,0.0348,5
transformer_only,upos,accuracy,0.704,0.0577,5
transformer_only,upos,precision,0.6984,0.0449,5
transformer_only,upos,recall,0.6083,0.0226,5
transformer_only,upos,f1,0.6284,0.0325,5
transformer_only,grammeme,accuracy,0.4664,0.0207,5
transformer_only,grammeme,precision,0.4619,0.081,5
transformer_only,grammeme,recall,0.1905,0.0566,5
transformer_only,grammeme,f1,0.2436,0.0639,5
