condition,fold,metric,official_f1,best_epoch
cagf_gold,0,Lemmas,77.05,60
cagf_gold,1,Lemmas,74.1,98
cagf_gold,2,Lemmas,74.22,134
cagf_gold,3,Lemmas,73.35,52
cagf_gold,4,Lemmas,75.24,94
cagf_gold,5,Lemmas,75.82,86
cagf_gold,6,Lemmas,76.92,115
cagf_gold,7,Lemmas,74.29,115
cagf_gold,8,Lemmas,75.42,93
cagf_gold,9,Lemmas,72.86,77
cagf_gold,0,UPOS,81.24,60
cagf_gold,1,UPOS,80.27,98
cagf_gold,2,UPOS,82.98,134
cagf_gold,3,UPOS,83.24,52
cagf_gold,4,UPOS,83.24,94
cagf_gold,5,UPOS,83.39,86
cagf_gold,6,UPOS,87.04,115
cagf_gold,7,UPOS,85.0,115
cagf_gold,8,UPOS,81.73,93
cagf_gold,9,UPOS,81.43,77
cagf_gold,0,UFeats,59.9,60
cagf_gold,1,UFeats,60.84,98
cagf_gold,2,UFeats,64.88,134
cagf_gold,3,UFeats,53.95,52
cagf_gold,4,UFeats,66.18,94
cagf_gold,5,UFeats,66.61,86
cagf_gold,6,UFeats,72.66,115
cagf_gold,7,UFeats,63.93,115
cagf_gold,8,UFeats,66.1,93
cagf_gold,9,UFeats,61.52,77
cagf_gold,0,AllTags,53.62,60
cagf_gold,1,AllTags,55.19,98
cagf_gold,2,AllTags,59.63,134
cagf_gold,3,AllTags,48.87,52
cagf_gold,4,AllTags,60.79,94
cagf_gold,5,AllTags,60.58,86
cagf_gold,6,AllTags,67.55,115
cagf_gold,7,AllTags,58.57,115
cagf_gold,8,AllTags,60.17,93
cagf_gold,9,AllTags,56.57,77
cagf_silver,0,Lemmas,83.24,82
cagf_silver,1,Lemmas,81.6,103
cagf_silver,2,Lemmas,83.95,109
cagf_silver,3,Lemmas,82.39,80
cagf_silver,4,Lemmas,82.18,89
cagf_silver,5,Lemmas,83.3,88
cagf_silver,6,Lemmas,83.54,57
cagf_silver,7,Lemmas,83.3,138
cagf_silver,8,Lemmas,82.49,61
cagf_silver,9,Lemmas,82.0,76
cagf_silver,0,UPOS,87.43,82
cagf_silver,1,UPOS,86.43,103
cagf_silver,2,UPOS,88.33,109
cagf_silver,3,UPOS,88.14,80
cagf_silver,4,UPOS,89.31,89
cagf_silver,5,UPOS,85.04,88
cagf_silver,6,UPOS,89.03,57
cagf_silver,7,UPOS,89.73,138
cagf_silver,8,UPOS,87.66,61
cagf_silver,9,UPOS,87.14,76
cagf_silver,0,UFeats,70.57,82
cagf_silver,1,UFeats,68.65,103
cagf_silver,2,UFeats,71.69,109
cagf_silver,3,UFeats,67.89,80
cagf_silver,4,UFeats,71.48,89
cagf_silver,5,UFeats,68.89,88
cagf_silver,6,UFeats,68.4,57
cagf_silver,7,UFeats,68.93,138
cagf_silver,8,UFeats,64.12,61
cagf_silver,9,UFeats,68.0,76
cagf_silver,0,AllTags,64.57,82
cagf_silver,1,AllTags,63.93,103
cagf_silver,2,AllTags,66.93,109
cagf_silver,3,AllTags,64.41,80
cagf_silver,4,AllTags,67.53,89
cagf_silver,5,AllTags,62.96,88
cagf_silver,6,AllTags,63.95,57
cagf_silver,7,AllTags,64.82,138
cagf_silver,8,AllTags,60.26,61
cagf_silver,9,AllTags,63.62,76
