strategy,checkpoint,metric,mean,sd,n_seeds
random,initial,tsc,29.09,2.74,10
random,initial,lemma_acc,48.21,1.31,10
random,initial,upos_acc,53.61,1.44,10
random,0.1,tsc,41.87,2.21,10
random,0.1,lemma_acc,52.55,1.14,10
random,0.1,upos_acc,60.63,1.27,10
random,0.2,tsc,54.85,2.75,10
random,0.2,lemma_acc,58.34,1.21,10
random,0.2,upos_acc,67.11,1.01,10
random,0.3,tsc,61.78,2.1,10
random,0.3,lemma_acc,61.92,0.9,10
random,0.3,upos_acc,70.12,0.93,10
random,0.5,tsc,70.89,1.72,10
random,0.5,lemma_acc,66.56,1.13,10
random,0.5,upos_acc,73.98,1.22,10
entropy,initial,tsc,29.09,2.74,10
entropy,initial,lemma_acc,48.21,1.31,10
entropy,initial,upos_acc,53.61,1.44,10
entropy,0.1,tsc,40.08,2.44,10
entropy,0.1,lemma_acc,51.62,1.13,10
entropy,0.1,upos_acc,59.9,0.76,10
entropy,0.2,tsc,52.52,1.33,10
entropy,0.2,lemma_acc,56.61,0.58,10
entropy,0.2,upos_acc,66.59,1.27,10
entropy,0.3,tsc,59.9,1.11,10
entropy,0.3,lemma_acc,60.31,0.98,10
entropy,0.3,upos_acc,69.8,1.26,10
entropy,0.5,tsc,69.12,1.43,10
entropy,0.5,lemma_acc,66.05,1.04,10
entropy,0.5,upos_acc,74.16,1.4,10
novelty,initial,tsc,29.09,2.74,10
novelty,initial,lemma_acc,48.21,1.31,10
novelty,initial,upos_acc,53.61,1.44,10
novelty,0.1,tsc,41.23,2.27,10
novelty,0.1,lemma_acc,51.62,1.97,10
novelty,0.1,upos_acc,59.52,1.83,10
novelty,0.2,tsc,55.67,2.12,10
novelty,0.2,lemma_acc,57.65,1.1,10
novelty,0.2,upos_acc,65.94,1.45,10
novelty,0.3,tsc,63.12,1.19,10
novelty,0.3,lemma_acc,61.85,0.97,10
novelty,0.3,upos_acc,69.59,1.36,10
novelty,0.5,tsc,71.54,0.69,10
novelty,0.5,lemma_acc,67.23,1.07,10
novelty,0.5,upos_acc,73.97,0.99,10
baseline,initial,tsc,29.09,2.74,10
baseline,initial,lemma_acc,48.21,1.31,10
baseline,initial,upos_acc,53.61,1.44,10
baseline,0.1,tsc,43.44,2.03,10
baseline,0.1,lemma_acc,52.57,0.81,10
