strategy,checkpoint,metric,mean,sd,n_seeds
random,initial,tsc,46.63,1.31,10
random,initial,lemma_acc,55.75,0.9,10
random,initial,upos_acc,74.8,0.84,10
random,0.1,tsc,60.53,1.18,10
random,0.1,lemma_acc,62.73,0.95,10
random,0.1,upos_acc,79.41,0.72,10
random,0.2,tsc,72.63,1.07,10
random,0.2,lemma_acc,69.91,0.71,10
random,0.2,upos_acc,82.83,0.95,10
random,0.3,tsc,78.67,1.16,10
random,0.3,lemma_acc,73.86,0.75,10
random,0.3,upos_acc,84.74,0.98,10
random,0.5,tsc,85.08,0.84,10
random,0.5,lemma_acc,78.08,0.81,10
random,0.5,upos_acc,86.68,0.69,10
entropy,initial,tsc,46.63,1.31,10
entropy,initial,lemma_acc,55.75,0.9,10
entropy,initial,upos_acc,74.8,0.84,10
entropy,0.1,tsc,56.56,1.56,10
entropy,0.1,lemma_acc,59.71,0.91,10
entropy,0.1,upos_acc,77.49,1.03,10
entropy,0.2,tsc,69.11,1.59,10
entropy,0.2,lemma_acc,66.99,0.89,10
entropy,0.2,upos_acc,82.96,0.6,10
entropy,0.3,tsc,77.02,1.45,10
entropy,0.3,lemma_acc,71.77,0.47,10
entropy,0.3,upos_acc,85.52,0.6,10
entropy,0.5,tsc,83.85,1.03,10
entropy,0.5,lemma_acc,76.71,0.35,10
entropy,0.5,upos_acc,87.31,0.42,10
novelty,initial,tsc,46.63,1.31,10
novelty,initial,lemma_acc,55.75,0.9,10
novelty,initial,upos_acc,74.8,0.84,10
novelty,0.1,tsc,59.42,1.63,10
novelty,0.1,lemma_acc,61.24,0.98,10
novelty,0.1,upos_acc,78.69,0.92,10
novelty,0.2,tsc,73.38,1.05,10
novelty,0.2,lemma_acc,69.67,0.8,10
novelty,0.2,upos_acc,83.46,0.8,10
novelty,0.3,tsc,80.05,0.66,10
novelty,0.3,lemma_acc,73.89,0.82,10
novelty,0.3,upos_acc,85.77,0.42,10
novelty,0.5,tsc,86.45,0.63,10
novelty,0.5,lemma_acc,78.58,0.66,10
novelty,0.5,upos_acc,87.52,0.44,10
baseline,initial,tsc,46.63,1.31,10
baseline,initial,lemma_acc,55.75,0.9,10
baseline,initial,upos_acc,74.8,0.84,10
baseline,0.1,tsc,61.36,1.31,10
baseline,0.1,lemma_acc,62.07,0.67,10
baseline,0.1,upos_acc,78.65,1.21,10
baseline,0.2,tsc,75.07,0.94,10
baseline,0.2,lemma_acc,69.66,0.35,10
baseline,0.2,upos_acc,83.45,0.75,10
baseline,0.3,tsc,81.56,1.04,10
baseline,0.3,lemma_acc,73.76,0.49,10
baseline,0.3,upos_acc,85.45,0.67,10
baseline,0.5,tsc,87.11,0.86,10
baseline,0.5,lemma_acc,78.55,0.53,10
baseline,0.5,upos_acc,87.39,0.29,10
fullpool,full,tsc,90.73,0.76,10
fullpool,full,lemma_acc,82.27,0.47,10
fullpool,full,upos_acc,88.88,0.46,10
