strategy,checkpoint,metric,mean,sd,n_seeds
random,initial,tsc,45.83,0.7,10
random,initial,lemma_acc,55.66,0.54,10
random,initial,upos_acc,69.54,0.98,10
random,0.1,tsc,58.94,0.9,10
random,0.1,lemma_acc,61.17,0.55,10
random,0.1,upos_acc,74.46,0.58,10
random,0.2,tsc,70.2,0.92,10
random,0.2,lemma_acc,67.21,0.57,10
random,0.2,upos_acc,78.73,0.5,10
random,0.3,tsc,75.46,0.6,10
random,0.3,lemma_acc,70.69,0.63,10
random,0.3,upos_acc,80.74,0.53,10
random,0.5,tsc,81.05,0.44,10
random,0.5,lemma_acc,74.34,0.41,10
random,0.5,upos_acc,82.59,0.41,10
entropy,initial,tsc,45.83,0.7,10
entropy,initial,lemma_acc,55.66,0.54,10
entropy,initial,upos_acc,69.54,0.98,10
entropy,0.1,tsc,54.94,0.86,10
entropy,0.1,lemma_acc,58.7,0.35,10
entropy,0.1,upos_acc,73.97,0.5,10
entropy,0.2,tsc,66.81,0.8,10
entropy,0.2,lemma_acc,64.8,0.55,10
entropy,0.2,upos_acc,78.57,0.65,10
entropy,0.3,tsc,72.87,0.65,10
entropy,0.3,lemma_acc,68.85,0.38,10
entropy,0.3,upos_acc,80.79,0.46,10
entropy,0.5,tsc,80.1,0.52,10
entropy,0.5,lemma_acc,73.71,0.36,10
entropy,0.5,upos_acc,82.95,0.43,10
novelty,initial,tsc,45.83,0.7,10
novelty,initial,lemma_acc,55.66,0.54,10
novelty,initial,upos_acc,69.54,0.98,10
novelty,0.1,tsc,59.53,0.71,10
novelty,0.1,lemma_acc,60.27,0.62,10
novelty,0.1,upos_acc,74.78,0.6,10
novelty,0.2,tsc,71.53,0.59,10
novelty,0.2,lemma_acc,67.61,0.42,10
novelty,0.2,upos_acc,78.91,0.44,10
novelty,0.3,tsc,77.26,0.56,10
novelty,0.3,lemma_acc,71.18,0.42,10
novelty,0.3,upos_acc,81.07,0.56,10
novelty,0.5,tsc,82.52,0.45,10
novelty,0.5,lemma_acc,74.94,0.33,10
novelty,0.5,upos_acc,82.84,0.42,10
baseline,initial,tsc,45.83,0.7,10
baseline,initial,lemma_acc,55.66,0.54,10
baseline,initial,upos_acc,69.54,0.98,10
baseline,0.1,tsc,61.09,0.49,10
baseline,0.1,lemma_acc,61.2,0.56,10
baseline,0.1,upos_acc,74.77,0.75,10
baseline,0.2,tsc,72.93,0.49,10
baseline,0.2,lemma_acc,67.8,0.4,10
baseline,0.2,upos_acc,79.02,0.51,10
baseline,0.3,tsc,78.24,0.47,10
baseline,0.3,lemma_acc,71.41,0.38,10
baseline,0.3,upos_acc,81.04,0.29,10
baseline,0.5,tsc,83.18,0.66,10
baseline,0.5,lemma_acc,75.24,0.42,10
baseline,0.5,upos_acc,83.04,0.51,10
fullpool,full,tsc,87.11,0.36,10
fullpool,full,lemma_acc,78.6,0.36,10
fullpool,full,upos_acc,84.51,0.53,10
