strategy,checkpoint,metric,mean,sd,n_seeds
random,initial,tsc,29.09,2.74,10
random,initial,lemma_acc,47.09,1.27,10
random,initial,upos_acc,53.63,1.56,10
random,0.1,tsc,41.87,2.21,10
random,0.1,lemma_acc,51.34,1.13,10
random,0.1,upos_acc,61.09,1.51,10
random,0.2,tsc,54.85,2.75,10
random,0.2,lemma_acc,57.01,1.3,10
random,0.2,upos_acc,67.32,0.97,10
entropy,initial,tsc,29.09,2.74,10
entropy,initial,lemma_acc,47.09,1.27,10
entropy,initial,upos_acc,53.63,1.56,10
entropy,0.1,tsc,42.71,2.21,10
entropy,0.1,lemma_acc,51.8,1.03,10
entropy,0.1,upos_acc,61.21,1.5,10
entropy,0.2,tsc,55.6,1.51,10
entropy,0.2,lemma_acc,57.06,0.84,10
entropy,0.2,upos_acc,67.17,0.99,10
novelty,initial,tsc,29.09,2.74,10
novelty,initial,lemma_acc,47.09,1.27,10
novelty,initial,upos_acc,53.63,1.56,10
novelty,0.1,tsc,41.23,2.27,10
novelty,0.1,lemma_acc,50.25,1.72,10
novelty,0.1,upos_acc,59.79,1.51,10
novelty,0.2,tsc,55.67,2.12,10
novelty,0.2,lemma_acc,56.39,1.21,10
novelty,0.2,upos_acc,66.64,1.08,10
baseline,initial,tsc,29.09,2.74,10
baseline,initial,lemma_acc,47.09,1.27,10
baseline,initial,upos_acc,53.63,1.56,10
baseline,0.1,tsc,43.07,1.95,10
baseline,0.1,lemma_acc,51.69,1.15,10
baseline,0.1,upos_acc,60.78,1.24,10
baseline,0.2,tsc,57.71,1.47,10
baseline,0.2,lemma_acc,57.63,0.75,10
baseline,0.2,upos_acc,67.12,1.42,10
equal,initial,tsc,29.09,2.74,10
equal,initial,lemma_acc,47.09,1.27,10
equal,initial,upos_acc,53.63,1.56,10
equal,0.1,tsc,42.96,1.94,10
equal,0.1,lemma_acc,51.02,1.34,10
equal,0.1,upos_acc,60.77,1.11,10
equal,0.2,tsc,57.2,1.32,10
equal,0.2,lemma_acc,57.36,0.95,10
equal,0.2,upos_acc,67.21,1.06,10
support-heavy,initial,tsc,29.09,2.74,10
support-heavy,initial,lemma_acc,47.09,1.27,10
support-heavy,initial,upos_acc,53.63,1.56,10
support-heavy,0.1,tsc,43.1,1.92,10
support-heavy,0.1,lemma_acc,51.53,1.02,10
support-heavy,0.1,upos_acc,60.52,0.89,10
support-heavy,0.2,tsc,58.12,1.58,10
support-heavy,0.2,lemma_acc,57.8,0.91,10
support-heavy,0.2,upos_acc,66.91,1.69,10
novelty-heavy,initial,tsc,29.09,2.74,10
novelty-heavy,initial,lemma_acc,47.09,1.27,10
novelty-heavy,initial,upos_acc,53.63,1.56,10
novelty-heavy,0.1,tsc,41.98,2.23,10
novelty-heavy,0.1,lemma_acc,50.34,1.26,10
novelty-heavy,0.1,upos_acc,59.96,1.26,10
novelty-heavy,0.2,tsc,56.74,1.97,10
novelty-heavy,0.2,lemma_acc,56.41,1.04,10
novelty-heavy,0.2,upos_acc,67.13,1.22,10
uncertainty-heavy,initial,tsc,29.09,2.74,10
uncertainty-heavy,initial,lemma_acc,47.09,1.27,10
uncertainty-heavy,initial,upos_acc,53.63,1.56,10
uncertainty-heavy,0.1,tsc,43.83,1.78,10
uncertainty-heavy,0.1,lemma_acc,51.34,1.16,10
uncertainty-heavy,0.1,upos_acc,60.39,1.87,10
uncertainty-heavy,0.2,tsc,57.17,1.36,10
uncertainty-heavy,0.2,lemma_acc,57.23,1.02,10
uncertainty-heavy,0.2,upos_acc,67.33,1.53,10
mean-only,initial,tsc,29.09,2.74,10
mean-only,initial,lemma_acc,47.09,1.27,10
mean-only,initial,upos_acc,53.63,1.56,10
mean-only,0.1,tsc,43.48,1.94,10
mean-only,0.1,lemma_acc,51.73,1.08,10
mean-only,0.1,upos_acc,60.98,1.14,10
mean-only,0.2,tsc,58.24,1.25,10
mean-only,0.2,lemma_acc,57.93,0.79,10
mean-only,0.2,upos_acc,67.37,1.39,10
balanced,initial,tsc,29.09,2.74,10
balanced,initial,lemma_acc,47.09,1.27,10
balanced,initial,upos_acc,53.63,1.56,10
balanced,0.1,tsc,42.93,2.62,10
balanced,0.1,lemma_acc,51.36,1.31,10
balanced,0.1,upos_acc,60.65,0.88,10
balanced,0.2,tsc,56.87,2.13,10
balanced,0.2,lemma_acc,57.27,0.92,10
balanced,0.2,upos_acc,67.44,1.58,10
